Business_ID,Cuisine
ahKL-52Ogn7iPFjhQbbb3w,indian
3yr114KyiL7hA3SZreVxgQ,seafood
wZkZmjZEJDraLJgAalnHvA,american
w6zpYm2mfk6F-wYWlYEtmA,chinese
veku2cg2qaV-7MxwhOMBmg,american
GhvnFLjgQ94MDXJgbv3opA,vietnamese
VfbHFAGWxShIXLCy7Zw02A,indian
1xxx4X6harPvGMcPmS15BA,japanese
__EvomQ2tE1NtkWn32WEXg,american
WSesw7dMYKmF3XHqD0K0WQ,indian
z28cRtpdfiJfzIp1vkMAwQ,korean
wdGMVLUzocmnl2tST0lheg,korean
hXqrA_Z3jZ8Q1O6ZehWSwQ,indian
9GEPKXerLoWIKefSvfnurw,korean
EAkIy8TKrW4yPPDCZyP-Cw,thai
JYoCTZrJ0VRTmQFYUz_bSg,mexican
herb-gOpfjJGeiYWXb2liw,mexican
mhrLDFTxUzW2koRAzjlt5g,mexican
6xCZHAr7yj_vWwRJalAEOg,healthy
CqvbXj6siqnBKaTjqNWwuw,chinese
bKXnm2k44mSdU0fP69lY-g,chinese
C2o3Iw-DXjoUJFgQIbiqkQ,thai
ojeMH0rbOOMx9ajChbVkJQ,mexican
hGksyTiHBBdrhbiVjXzWVw,pizza
XoDR_T-ZKYJtZgCocEDcyA,brunch
aSbrPkclNZXBtA2k69Agsw,american
GNbzHUMc2BB23-kW4cJboQ,japanese
iXrKGRzIZK0pp31mO3nBzA,healthy
J9pgjC191T-odCmTAG-grQ,mexican
SNtbNK_YRe4mLzFkJggdlg,american
PTYUAAJbEmvIv4EsyRrcnA,japanese
x_YWFkTcxEu1lo8Nlrog5A,brunch
NdO1fbZL1DGi_WRyV1_sgQ,indian
56PeolgNURAG4x6q7nanmw,japanese
nxTEuWKzkK1tCF4LrhFSUQ,thai
A-ert0jDRBfku9ogyW_mEg,chinese
eVk4F9ixl89zyUHJ1G2Aiw,italian
zyG1GIU3KnIZ3bOVGgJXlA,chinese
f_OiLWqldSmNy1MAvtWlPQ,thai
o7ebhiCJTSsp43ynRDB1qA,italian
-5npn9NRmOun7VUVLZpjyw,thai
zo4JHfD2nWPUiqgsgDOaHQ,seafood
CFR-HzVHKWRMpMAR3LAhzg,pizza
4KHjnRNvrkKHchEznhlnSA,brunch
EVQQ1Fs1YNlKd4HuxmzlJQ,chinese
bOMofoDVsNxAdv8th8HPEA,vietnamese
W5RSIwNKBa7k0jeAs5KDYg,japanese
iJUoxnxbCtVDMek4keHJFQ,american
RlAm64BcT3zsdrcvwkVLYQ,chinese
VrP6mI9Ihf2qt8dH6XwnYg,pizza
LagdNws7RoP-xrcWF7JA4A,seafood
nIYDlplPts4l2G-bMlQbNg,american
E8358H_xh9dqfcdO34gnkg,korean
d0ic0tnQjujPsjQNuC1awQ,pizza
ZQJar03Q1n0oWgGA3ip3nw,pizza
_FICyzFLQxR7N62I6qU94A,japanese
FZpm4_fbd6P984foOUejWg,korean
jOGL9SOeMH2F6HO5qxbDHw,thai
enT7NJ7tLMvUMCWQcsUonw,seafood
o5mMVFk4Hcpk2FuKfgTgdg,healthy
jnHbdsqlTKlPcmJ8BCP9-g,italian
XTLV-dDxS27AmY7I9Er68Q,seafood
X4hEgOBOLTYFhlWO-gAFxQ,chinese
